word,vowel,duration,F1,F2,F1.bark,F2.bark
chichi,i,71.24766197083288,239.4959862301096,2256.838558265068,2.522718724851135,13.681684816093004
dodo,O,99.99999999999964,576.4913181025806,1032.9026578557662,5.59013232160649,8.696678489916069
bebe,e,132.18177794083186,350.76685929624455,1732.4008166439853,3.6134802854514794,11.927248983630584
bubu,u,112.47028474529763,278.1170999373373,690.3230613404064,2.9071446719437506,6.470035237984942
giogio,O,145.6409301854098,542.8615270857188,1183.5883695134964,5.303456496158772,9.507205084765365
tete,e,99.71592255768691,395.71914697701584,1835.2666011945118,4.03155876095527,12.327340232198331
gogo,O,151.8928587797319,541.4766113539141,1011.558196286132,5.289240386594264,8.574342406499904
dede,e,136.81920152995275,348.25663696647854,1807.5094393881159,3.589726834415729,12.224612775022948
gigi,i,100.87517400937074,253.60707745801687,2013.517866564001,2.6657312265625617,12.940274170992373
pupu,u,103.19414352682799,269.1702423225541,634.9495213545098,2.820751058440581,6.049608346343686
coco,O,128.7028082188577,545.5528125590206,912.393850361453,5.336311373359636,7.978467496013624
cheche,e,131.42960234339895,345.4474461100169,1984.1201373035801,3.562593231308924,12.841703295844878
pepe,e,124.31649458982363,399.0814563992801,1821.1165815273446,4.064772865188647,12.270236192682406
bobo,O,155.67647790502193,533.8204825988067,888.4092185025967,5.2394245607364915,7.829456933927808
ciacia,a,121.74589966648597,653.0752774740927,1398.655586183984,6.1893673635564985,10.555440296942063
ciuciu,u,93.91814337773496,277.2261820155504,1023.0835498249157,2.898219328980634,8.518427952562204
toto,O,108.99119897266019,601.6009740728789,1007.3313993545171,5.792449602696433,8.540672123402052
ciocio,O,122.67107488651874,576.287894177742,1034.2935845013512,5.589978377461392,8.692378402273592
gaga,a,162.32731761885333,597.580235696655,1506.1238138899982,5.743597048634793,11.012387389630398
pipi,i,100.00000000000142,240.7169647083308,2117.490331885302,2.5362612565706137,13.274304268622615
gheghe,e,121.74548821413822,376.44881755473415,1921.772104447499,3.853803052510018,12.631888178791769
titi,i,88.12054385023771,246.3684937368112,2157.652983968598,2.593290954804085,13.39700199458816
ghighi,i,89.9999999999963,256.6814933162393,2164.546806086882,2.695893893826658,13.4253895854512
caca,a,126.38341157467892,655.0504095597647,1493.6631712209814,6.203410949911718,10.980574538588536
tutu,u,98.55587141144895,319.52624706993674,958.122123178643,3.237866133461931,8.103347991007062
gege,e,133.34029661549351,363.82096189984867,1909.8588069512257,3.735901573283465,12.590137760918967
gugu,u,128.70237325495282,260.73272465909076,725.936000664186,2.733720026580748,6.727543279762659
giugiu,u,100.00000000000142,278.43926909445565,1211.5937503035452,2.9135091783360894,9.521486446013506
giagia,a,129.99999999999545,610.8461152869696,1427.051501530919,5.858065233539967,10.689315388658418
didi,i,130.12990267915114,247.10065451792954,2138.2863585870605,2.600758728268032,13.342775951074652
baba,a,132.45671588182262,678.02283115032,1186.9409145295913,6.3746549461867925,9.538331383717907
cucu,u,80.00417796929327,268.6297699705572,723.3513849104996,2.808673646490493,6.5623640675049275
dudu,u,122.90474539301499,272.43728039392005,1029.3045037420939,2.8534832372134287,8.6358840943198
papa,a,89.9999999999892,662.4991968905265,1156.1348841815875,6.263270938104518,9.37739030343493
tata,a,129.99999999999545,632.5303613661323,1311.4306053370258,6.034789752399139,10.15666556715166
popo,O,111.30981340524215,537.8109139533184,853.7052906129059,5.275091353623473,7.604188284319478
cici,i,68.40915615531173,264.87202712759193,2002.4249921550995,2.7787945787627564,12.90380113146649
dada,a,120.00000000000455,641.9811922237362,1369.6810010520387,6.107224662525952,10.430519693043905
cece,e,84.64183727690511,381.67045874165746,1909.8417387673737,3.9027314402975657,12.58997121862167
bibi,i,109.99999999999943,240.4654738974536,2094.4408593143544,2.533767447321905,13.202601993392646
bubu,u,109.99999999999943,265.3321340076028,697.0601451627971,2.7834051310544856,6.521296574583335
bebe,e,136.74991921588742,389.09514067493086,1802.3015300688126,3.972426933626486,12.20234362994965
didi,i,113.63693935166452,241.0075660785356,2064.5365202746716,2.5393253766080757,13.107971527042135
dada,a,130.55440525879192,650.6461064160352,1342.6390672976966,6.1704125244780075,10.305728627703937
dudu,u,114.78824507415197,284.5572678379073,945.0296519942042,2.9733337079823783,8.160811532985857
papa,a,103.26410319069623,646.499971706566,1158.3384048876294,6.142011952793523,9.38777017560369
titi,i,93.91765506066463,238.85732721919072,2082.9231675731776,2.5172865335978827,13.16460056591646
ciacia,a,107.83138173631812,626.8402050539624,1367.5855959086123,5.991198730477449,10.419523612234338
giogio,O,140.00000000000057,485.6785940721873,1280.751047240044,4.815410888262869,9.986551645556453
cucu,u,79.9999999999983,280.5449750604602,656.9125408109894,2.9337719612122015,6.220814243687327
bibi,i,89.9999999999892,238.62756190919018,2125.732669216215,2.515314544822817,13.304318029648359
caca,a,114.0987877857782,641.9016299992312,1477.0275614061954,6.105762932836082,10.89211380195688
